Taxa	PT015	PT002	s58.Healthy.greaterthan5.Feces.Baseline	CN031	PH043	CN004	PH042	PH048	s.331.Healthylessthan5.Stool.1.2556	CN023	PT003	s.278.Healthylessthan5.Stool.visit1.2298	s064.Healthy_greaterthan5.Feces.Baseline	s.86.Healthy_greaterthan5.Feces.Baseline	PH029	s048.Healthy_lessthan5.Feces.Baseline	PH047	PH011	s.280.Healthylessthan5.Stool.visit1.2273	PH005	PH049	CN002	s.298.Healthylessthan5.Stool.1.2374	PT004	s066.Healthy_lessthan5.Feces.Baseline	s.91.Healthy.greaterthan5.Feces.Baseline	s.274.Healthylessthan5.Feces.Baseline	s.88.Healthy_greaterthan5.Feces.Baseline	PH045	PT012	PT018	PH025	CL007	PH024	s.87.Healthy_greaterthan5.Feces.Baseline	PT005	s60.Healthy.greaterthan5.Feces.Baseline	s.257.Healthylessthan5.Stool.1.1953	CN011	s083.Healthy_lessthan5.Feces.Baseline	s.109.Healthy.greaterthan5.Stool.1.910	PH021	CN013	PH008	CL009	PT013	PT014	PH002	PT019	s.294.HealthyLess.Than5.Stool.1.2296	CN029	PH028	s115.Healthy_greaterthan5.Feces.Baseline	PH022	CL002	CL005	PH020	CN022	PH019	PT006	s22.Healthy.Feces.Visit1	s69.Healthy_greaterthan5.Feces.Baseline	PH050	s.260.Healthylessthan5.Feces.Baseline	CN027	s.276.Healthylessthan5.Stool.visit1.2112	CN005	CN030	s.356.Healthy.lessthan5.Stool.1.2764	PT017	PH012	s95.Healthy.lessthan5.Feces.Baseline	CL010	s26.Healthy.Feces.Visit1	PH023	s.158.Healthy_lessthan5.Feces.Baseline	s30	PT009	PH017	s45.Healthy_lessthan5.Feces.Baseline	PH031	PT007	PT010	CL006	s.85.Healthy_greaterthan5.Feces.Baseline	PH018	s.290.Healthylessthan5.Stool.visit1.2284	CL003	s.84.Healthy_greaterthan5.Feces.Baseline	PH016	PH051	PH007	CN017	CL008	s.208.Healthy_lessthan5.Feces.Baseline	s.79.Healthy_greaterthan5.Feces.Baseline	CN026	PH027	PH038	PH041	s50.Healthy_lessthan5.Feces.Baseline	s47.Healthy_lessthan5.Feces.Baseline	PH040	s.75.Healthy_greaterthan5.Feces.Baseline	PH010	s128.Healthy_lessthan5.Feces.Baseline	s049.Healthy_greaterthan5.Feces.Baseline	PH035	s125.Healthy_lessthan5.Feces.Baseline	s.89.Healthygreaterthan5.Feces.Baseline	s.153.Healthy_lessthan5.Feces.Baseline	PH054	s46.Healthy.greaterthan5.Feces.Baseline	CN019	s70.Healthy_greaterthan5.Feces.Baseline	s.149.Healthy_lessthan5.Feces.Baseline	PH046	PH052	PT001	s.283.HealthyLess.Than5.Stool.1.2299	s.303.Healthylessthan5.Stool.1.2291	s.353.Healthygreaterthan5.Stool.1.2756	CN007	PH013	CN024	s68.Healthy_greaterthan5.Feces.Baseline	CN020	PH034	CL004	CN006	PH039	s.100.Healthygreaterthan5.Stool.visit1.798	PH037	s.74.Healthy_greaterthan5.Feces.Baseline	CN021	PH036	PH026	PT011	s6.Healthy.Feces.Visit1	CL001
p__Actinobacteria g__Corynebacterium s__terpenotabidum	0	0	2	3	0	1	0	1	1	0	1	0	1	3	0	2	4	0	1	4	0	18	1	0	7	2	29	5	3	1	1	0	3	7	4	1	3	0	0	0	0	1	1	1	2	0	0	1	10	0	0	15	5	5	3	0	1	1	0	0	5	0	4	2	0	0	0	0	10	0	0	5	5	5	3	7	0	1	0	2	2	11	0	0	3	0	1	54	2	0	0	0	3	3	3	2	1	1	2	1	2	4	0	1	1	2	91	0	1	2	4	2	2	0	0	0	17	0	3	0	3	68	0	2	0	1	1	3	0	0	0	5	19	16	4	0	0	12	0	0
p__Actinobacteria g__Corynebacterium s__testudinoris	0	2	19	7	0	1	2	54	18	3	9	0	1	23	5	5	11	0	6	6	0	5	31	7	2	17	32	23	8	0	0	0	6	14	5	0	6	12	0	0	9	1	12	5	7	0	0	0	19	2	8	25	6	18	19	3	12	3	1	0	2	0	2	13	1	7	49	7	61	5	1	18	21	21	4	4	6	0	1	20	4	28	0	3	40	0	6	172	27	0	1	0	4	6	3	25	0	0	0	4	4	8	0	9	15	11	40	29	1	6	6	6	9	1	2	20	7	0	0	2	7	5	0	5	48	13	0	13	0	8	1	33	20	25	5	0	0	21	2	0
p__Actinobacteria g__Corynebacterium s__timonense	2	7	1	7	0	2	1	14	6	8	8	0	1	3	0	2	12	2	2	13	5	6	4	12	2	2	3	4	5	11	6	0	8	3	2	6	6	0	0	0	5	1	0	0	2	0	3	0	9	1	0	17	10	12	10	1	7	4	4	0	4	0	8	7	1	2	2	2	1	12	0	4	3	4	2	0	4	0	0	3	2	11	0	2	10	2	5	97	3	1	1	0	51	6	3	5	6	1	1	2	1	2	1	3	1	1	48	12	9	2	16	2	0	4	3	4	4	0	1	4	4	4	0	5	4	12	7	9	0	2	3	10	2	6	17	0	0	20	1	2
p__Actinobacteria g__Corynebacterium s__ulcerans	0	0	1	11	0	0	1	6	6	0	17	0	3	6	9	23	13	0	8	4	0	18	11	3	24	4	55	41	3	2	14	0	2	4	3	6	11	2	0	1	6	0	0	0	20	0	0	0	5	11	5	6	10	6	1	1	2	2	4	4	9	0	34	3	1	18	5	4	2	1	1	4	4	15	15	82	8	1	0	8	3	26	0	2	6	0	0	44	7	0	0	1	0	4	5	3	0	4	2	4	2	7	1	11	0	3	14	4	1	5	5	4	6	3	2	14	4	0	13	3	8	15	0	2	2	4	2	0	0	0	0	19	11	9	6	0	0	3	0	4
p__Actinobacteria g__Corynebacterium s__urealyticum	0	10	5	40	0	21	8	37	11	1	45	0	5	25	0	51	64	0	52	50	1	7	38	12	28	7	29	9	6	1	11	0	59	59	6	19	4	1	2	1	4	0	3	0	33	192	0	1	43	10	0	12	5	36	4	7	2	5	3	3	11	25	67	10	1	3	0	5	11	6	2	23	5	19	69	40	4	11	0	5	5	52	7	15	66	2	13	79	22	1	0	0	2	11	34	8	0	8	3	10	5	8	2	44	3	3	45	61	1	5	6	23	11	3	4	22	31	0	3	9	10	15	0	2	5	9	7	5	1	0	9	6	39	23	16	18	0	13	2	3
p__Actinobacteria g__Corynebacterium s__ureicelerivorans	0	0	15	1	6	0	8	43	29	27	9	5	23	36	165	39	26	0	7	31	3	59	31	14	15	4	11	57	9	0	23	0	21	25	29	3	32	9	0	41	38	77	0	2	74	0	2	0	32	11	4	17	35	16	20	22	12	13	1	18	5	0	24	1	14	13	0	6	1	3	3	13	12	23	41	13	10	1	0	29	6	28	0	71	43	9	49	118	48	0	7	0	5	0	2	31	3	10	7	12	7	19	44	6	51	2	42	1	0	21	33	15	9	14	2	10	23	0	7	6	6	22	1	45	10	12	34	0	0	27	3	18	62	37	50	0	0	9	17	0
p__Actinobacteria g__Corynebacterium s__uterequi	0	0	121	1	0	17	2	32	6	1	12	0	5	45	0	7	56	0	9	24	0	15	22	8	1	2	13	10	2	7	10	0	17	46	4	18	7	0	5	3	1	0	0	1	28	0	1	2	32	6	1	16	9	19	14	0	2	3	6	3	5	3	37	4	3	6	0	6	2	5	1	3	4	7	69	14	9	8	0	8	5	24	5	12	23	4	3	204	12	0	1	0	19	7	3	5	5	5	3	20	5	6	2	11	3	1	25	6	1	7	20	23	9	0	7	4	20	0	6	7	1	22	1	6	6	15	9	7	0	2	1	17	22	21	14	0	0	8	4	1
p__Actinobacteria g__Corynebacterium s__variabile	0	2	20	5	0	2	1	32	4	0	11	0	51	46	2	3	12	3	4	6	1	7	5	2	20	3	3	21	6	7	4	158	5	6	2	4	5	3	1	2	4	0	0	5	3	0	1	0	26	3	0	15	77	10	68	1	8	3	1	0	4	1	19	1	0	4	2	2	0	5	12	7	10	36	5	8	9	3	3	2	1	50	0	11	13	0	4	115	20	1	1	2	4	2	4	8	0	67	1	16	3	5	78	1	11	0	38	2	0	6	15	10	6	2	2	6	9	0	62	7	15	12	0	40	3	10	3	4	0	1	2	29	27	20	7	0	27	21	17	0
p__Actinobacteria g__Corynebacterium s__vitaeruminis	0	4	48	3	3	24	4	46	31	112	32	2	15	76	2	46	104	0	28	38	2	33	54	21	75	13	112	19	6	12	17	0	11	56	23	23	16	4	3	0	11	2	0	5	69	0	0	1	30	7	9	25	17	34	17	1	15	1	10	5	11	4	63	2	0	35	12	6	46	15	4	8	26	63	57	33	9	11	13	13	7	52	2	11	34	14	8	201	35	0	2	0	160	9	20	28	4	6	5	23	2	13	1	24	26	14	74	12	0	18	93	23	20	0	1	11	20	0	0	18	24	23	1	4	3	35	3	15	0	0	6	29	15	34	25	0	0	30	10	1
p__Actinobacteria g__Cryobacterium	0	0	0	0	0	0	0	18	0	0	0	0	0	27	0	0	0	0	0	0	0	2	11	2	0	0	6	0	0	0	0	0	0	3	16	3	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	8	1	2	3	10	0	0	1	0	5	0	3	0	0	40	0	2	0	0	0	3	0	8	10	0	0	15	0	0	0	0	0	0	7	6	0	19	38	0	0	0	0	0	8	0	0	1	0	5	1	13	0	0	1	1	16	2	0	0	3	11	0	2	8	1	4	0	0	1	0	54	0	0	0	6	0	0	0	0	0	0	0	8	1	0	0	1	1	0
p__Actinobacteria g__Cryobacterium s__arcticum	0	7	11	3	6	4	1	33	12	1	4	2	2	14	0	6	26	3	3	10	2	5	27	3	37	7	50	8	7	3	4	1	6	27	16	4	9	4	3	6	10	3	0	1	29	1	0	0	13	6	0	15	11	10	12	2	4	2	4	1	4	1	13	2	1	26	77	10	3	6	5	10	5	35	12	21	26	4	1	12	3	8	2	2	17	12	8	123	16	2	1	2	4	6	3	5	0	11	2	3	0	9	1	5	9	8	31	2	0	13	20	4	4	0	4	6	3	0	9	6	6	17	0	4	8	24	12	2	0	7	1	17	5	19	11	0	0	27	9	5
p__Actinobacteria g__Cryobacterium s__sp. LW097	0	1	181	4	2	2	2	13	9	3	6	0	3	11	0	3	17	1	10	10	4	9	15	8	10	1	14	7	6	0	13	0	5	11	2	13	5	4	0	0	2	3	0	3	7	0	1	1	30	1	0	6	7	18	5	0	4	4	5	3	5	0	16	10	0	20	32	1	46	1	6	8	5	22	21	2	3	4	0	27	2	44	1	5	11	27	6	114	12	0	0	1	6	9	3	2	2	3	16	3	0	4	1	4	6	5	15	6	0	3	1	20	3	3	6	12	17	0	1	4	0	1	0	5	23	8	2	4	0	2	2	10	5	8	2	0	0	34	14	0
p__Actinobacteria g__Cryptobacterium s__curtum	2	13	17	8	0	55	33	35	14	4	10	1	22	13	0	17	18	0	3	16	0	8	9	12	108	1	15	62	9	0	66	0	21	63	31	8	0	5	0	0	6	1	10	2	4	1	0	0	49	10	0	91	21	16	1	0	5	8	3	1	2	3	37	51	1	22	0	0	1	8	0	6	43	37	12	3	27	36	149	7	26	11	4	21	11	0	4	5	66	0	2	0	51	4	18	9	7	0	10	2	5	12	0	3	12	4	76	22	16	9	40	11	19	3	6	0	25	0	2	4	21	42	3	4	10	30	0	1	0	0	44	6	20	39	1	0	0	0	76	0
p__Actinobacteria g__Curtobacterium	0	0	2	0	0	1	0	2	0	0	0	0	2	3	2	0	2	0	0	0	5	1	0	0	0	0	4	3	0	1	4	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	0	1	0	1	0	2	0	0	0	0	0	2	0	0	0	1	0	0	3	0	1	0	0	3	1	0	0	0	0	0	0	1	11	0	0	4	0	0	88	4	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	1	0	1	1	0	0	2	0	0	0	0	0	5	0	24	0	2	3	0	2	0	0	3	4	0	1	0	2	2	2	6	0	0	12	0	0
p__Actinobacteria g__Curtobacterium s__pusillum	1	1	18	11	0	1	3	37	15	1	2	7	11	24	0	0	4	0	2	8	18	10	22	6	1	13	0	9	1	5	7	0	1	6	18	4	4	7	1	0	10	0	0	1	19	2	0	0	1	1	0	16	12	0	16	1	14	3	1	0	0	0	3	3	0	4	1	4	1	10	0	22	24	13	0	2	4	27	174	0	3	6	1	4	16	0	0	92	17	0	0	0	44	7	6	14	1	2	0	0	0	1	2	2	12	0	56	59	0	13	6	0	7	2	0	16	0	0	63	5	4	4	1	2	0	6	3	2	0	1	45	20	0	15	6	0	0	13	6	0
p__Actinobacteria g__Curtobacterium s__sp. BH-2-1-1	0	4	6	2	2	18	2	63	7	1	11	0	4	10	0	5	12	0	3	14	9	18	2	14	1	2	3	1	1	4	2	0	1	55	2	19	0	1	4	0	0	1	0	0	0	1	0	2	22	0	0	4	5	15	3	3	0	2	6	0	1	0	9	4	1	0	1	5	1	4	0	1	3	1	71	3	2	17	1	3	1	27	6	11	7	2	1	90	6	2	0	0	0	3	1	3	2	2	0	16	1	4	0	11	3	0	24	91	0	6	8	17	2	1	2	0	15	0	73	8	0	3	0	4	4	3	1	1	0	2	1	5	10	13	2	0	0	20	8	0
p__Actinobacteria g__Curtobacterium s__sp. MR_MD2014	0	4	5	0	0	0	1	0	5	2	3	3	3	6	0	0	1	2	2	0	10	2	4	1	0	0	4	13	0	2	1	0	11	1	3	1	0	1	0	4	0	0	0	0	2	1	0	0	1	0	2	2	0	1	1	0	3	0	0	0	0	0	1	1	0	1	7	3	0	2	0	6	7	3	4	0	2	0	2	2	3	7	0	2	9	0	0	128	12	0	0	0	5	0	1	0	0	0	0	5	0	0	0	0	0	0	47	4	1	1	38	9	3	0	1	0	4	0	67	0	1	16	1	12	0	15	10	6	0	1	4	2	2	14	5	0	0	27	1	0
p__Actinobacteria g__Cutibacterium	0	0	1	0	0	0	1	17	4	2	0	1	1	6	0	1	4	0	0	3	0	0	4	9	0	0	1	0	1	0	7	0	0	6	1	0	0	0	0	7	0	0	0	0	19	1	0	0	16	0	1	2	4	9	3	0	0	0	0	0	0	1	15	0	0	1	0	0	0	0	93	0	0	3	0	2	1	1	4	0	1	0	0	0	4	1	0	22	9	0	0	2	0	0	0	0	1	1	1	1	0	0	0	1	1	1	12	1	0	1	5	7	1	0	0	1	11	0	6	1	1	6	0	80	0	4	4	4	0	1	0	0	1	3	3	0	0	1	1	1
p__Actinobacteria g__Cutibacterium s__acnes	19	43	165	54	30	69	95	27	54	42	39	17	34	52	35	49	38	120	31	235	42	20	416	1249	6	9	20	46	11	57	44	70	14	51	46	119	43	30	30	717	175	62	44	380	47	12	32	74	24	84	25	22	87	71	43	18	31	11	63	31	34	11	35	40	10	41	29	40	14	98	12330	163	54	164	141	87	13	21	683	26	25	28	36	29	83	48	24	705	79	86	12	311	23	29	250	40	26	45	197	37	46	40	47	9	62	21	85	51	21	16	51	27	62	17	40	73	671	0	1361	45	51	260	14	13834	19	13	64	191	17	36	55	22	23	41	329	12	33	51	54	15
p__Actinobacteria g__Cutibacterium s__avidum	0	66	121	11	4	3	0	14	24	1	25	6	11	18	100	38	24	0	19	18	2	6	23	15	10	8	49	31	71	12	18	0	13	8	18	7	2	2	6	0	1	2	1	3	33	1	1	0	32	3	0	7	6	20	15	15	1	17	2	5	6	2	42	6	1	9	12	9	10	6	12	16	7	22	26	46	17	15	1	10	4	11	1	7	24	21	13	305	38	0	0	2	16	1	6	6	8	3	21	0	1	6	1	3	8	9	37	18	0	16	28	11	3	8	0	2	18	0	5	5	14	14	2	20	4	14	11	12	0	3	4	24	6	16	8	0	0	99	12	0
p__Actinobacteria g__Cutibacterium s__granulosum	0	8	19	5	0	1	4	24	7	1	14	1	5	4	0	16	27	0	4	5	3	15	10	8	1	1	19	3	9	6	3	1	12	12	9	1	7	9	0	1	8	1	1	6	1	0	1	0	20	3	3	5	12	12	5	0	5	4	7	7	9	1	4	2	0	7	4	3	1	4	115	11	6	10	2	2	0	2	3	2	6	1	2	8	12	2	17	127	9	0	0	5	2	1	10	23	4	0	12	8	10	4	5	4	8	3	35	0	1	1	7	2	12	9	2	6	9	0	16	6	2	11	2	59	0	3	15	8	1	1	4	15	24	19	14	0	0	19	5	5
p__Actinobacteria g__Denitrobacterium s__detoxificans	8	20	104	42	4	109	23	108	134	19	141	4	57	136	36	115	64	0	74	110	0	121	68	42	174	23	172	74	37	1	88	1	30	163	46	65	24	17	5	0	29	5	8	4	80	1	3	2	199	16	6	277	76	93	115	6	8	45	34	19	20	18	166	124	10	48	1	0	112	33	0	29	103	107	173	81	16	44	125	35	82	173	6	26	116	12	70	23	133	0	7	0	73	48	36	79	6	5	48	91	12	37	14	38	27	10	412	168	0	37	183	117	50	46	29	42	79	0	1	32	57	140	5	10	16	47	19	0	0	2	27	75	203	199	8	0	0	0	51	287
p__Actinobacteria g__Dermabacter s__vaginalis	0	8	10	0	2	1	2	54	3	0	2	0	2	5	2	2	5	0	2	2	1	1	13	1	141	2	43	2	1	9	56	0	16	78	55	4	1	0	1	0	6	0	0	0	16	0	1	0	50	1	1	20	5	15	6	5	1	0	1	2	5	2	1	76	2	13	8	7	2	8	3	3	7	27	1	7	2	0	0	3	3	10	0	2	24	1	8	225	28	0	0	0	11	2	2	2	0	2	9	2	0	0	1	6	1	2	12	10	2	5	13	6	2	1	2	7	7	0	14	7	3	53	2	4	1	3	17	2	0	6	6	8	2	39	16	0	1	8	78	6
p__Actinobacteria g__Dermacoccus s__nishinomiyaensis	0	6	11	25	0	67	18	75	7	16	25	1	7	9	2	15	41	1	6	31	1	11	11	7	3	0	24	5	9	7	30	0	6	27	4	20	2	6	2	8	7	4	1	4	17	1	5	10	7	0	2	16	19	16	4	10	2	4	2	3	6	0	18	2	8	11	11	12	24	13	138	1	30	5	6	4	0	4	3	13	3	13	0	5	25	5	3	338	6	9	8	5	9	1	9	5	15	2	1	9	1	5	2	2	9	5	50	50	0	2	6	10	5	6	3	3	13	0	18	4	3	8	2	377	7	8	13	8	0	8	6	18	6	40	19	0	0	383	4	0
p__Actinobacteria g__Dermatophilus s__congolensis	0	2	7	1	1	0	1	5	3	2	1	0	2	8	15	1	1	0	2	1	0	2	9	1	6	0	4	0	3	35	6	0	4	2	4	1	0	1	0	0	0	0	0	0	9	0	0	0	19	0	0	6	9	3	2	4	0	0	0	0	1	0	3	7	2	1	1	10	1	1	0	2	0	6	3	0	4	0	0	2	0	15	0	1	4	0	6	71	6	0	0	1	5	5	2	3	0	3	11	3	4	4	0	8	2	0	9	26	1	6	3	5	5	0	3	1	6	0	9	5	11	8	0	7	0	5	5	2	0	1	1	9	0	9	9	1	0	4	3	0
p__Actinobacteria g__Devriesea s__agamarum	0	0	7	3	1	0	1	3	5	0	19	0	3	5	26	6	2	0	0	2	0	3	4	4	7	1	4	15	4	1	4	0	1	4	4	0	4	2	0	0	4	1	0	0	7	0	1	0	6	4	9	1	3	4	0	2	3	1	2	0	1	1	11	3	2	0	3	6	1	3	0	9	1	8	7	26	2	0	0	3	1	51	24	0	2	0	1	67	3	0	0	0	2	7	4	5	14	4	0	1	1	1	0	2	2	1	5	2	0	7	0	4	5	0	2	5	5	0	0	0	2	31	0	0	4	1	3	3	0	1	3	11	2	7	3	1	0	25	3	10
p__Actinobacteria g__Dietzia	0	0	0	0	0	1	0	6	3	1	13	0	0	3	0	0	16	0	2	2	1	6	0	2	0	0	2	0	1	0	0	0	2	3	1	3	0	3	0	0	0	0	1	0	2	0	1	0	10	0	0	1	2	3	4	0	3	1	1	0	1	0	0	1	0	1	2	1	0	1	0	5	4	4	7	0	2	0	0	0	0	29	2	0	4	9	0	30	3	0	0	1	6	2	2	2	0	1	4	1	0	0	0	0	3	0	3	1	0	2	1	3	3	0	2	0	1	0	0	0	0	3	0	1	0	0	3	2	0	0	0	3	0	9	2	0	0	18	3	0
p__Actinobacteria g__Dietzia s__lutea	0	0	0	0	0	1	3	30	8	101	9	1	1	3	0	8	8	0	1	1	0	6	12	3	28	4	47	1	1	0	1	0	1	2	7	4	2	0	0	2	6	0	0	1	13	0	0	0	2	0	5	4	3	3	2	0	4	0	0	2	1	0	2	2	0	12	2	2	0	2	1	1	4	25	1	13	1	4	0	0	1	2	0	1	7	7	6	30	5	0	0	0	170	2	3	3	0	1	2	4	0	2	0	5	1	0	16	41	0	5	28	8	1	0	1	5	7	0	2	0	5	4	0	1	0	7	0	2	0	7	1	5	3	2	5	0	0	16	2	3
p__Actinobacteria g__Dietzia s__psychralcaliphila	0	0	2	0	0	1	2	5	0	1	0	0	2	0	0	0	18	0	0	1	0	2	1	0	0	0	1	1	1	0	12	0	3	1	1	4	0	0	1	3	0	1	0	1	2	2	0	0	6	0	0	7	3	0	2	0	1	0	0	0	1	0	0	1	0	0	4	0	9	1	4	0	0	0	0	0	1	0	0	1	1	12	0	0	0	0	2	44	2	0	0	0	1	1	0	1	0	0	2	0	0	0	0	2	12	0	4	0	0	0	2	0	4	0	3	0	4	0	7	0	1	11	0	2	0	2	1	3	0	0	1	1	2	11	0	0	0	18	0	0
p__Actinobacteria g__Dietzia s__sp. JS16-p6b	0	1	13	3	0	19	1	25	9	0	10	0	22	10	0	11	34	0	8	26	0	6	13	8	0	4	19	11	10	5	7	0	3	64	12	16	1	8	1	0	6	0	0	1	9	0	1	7	16	0	0	12	6	5	17	0	9	1	2	0	3	2	39	5	0	5	0	2	0	3	4	5	10	9	73	5	3	15	0	4	6	48	8	18	11	0	3	47	19	0	0	0	2	10	2	6	4	1	1	14	1	3	3	20	12	3	44	5	0	7	5	17	8	1	3	4	13	0	6	1	2	11	0	7	9	5	1	7	0	1	1	6	17	17	6	0	0	22	10	0
p__Actinobacteria g__Dietzia s__sp. oral taxon 368	0	0	15	0	0	0	1	5	4	0	0	0	1	3	1	0	3	0	0	0	1	3	0	0	0	0	0	0	0	6	0	0	0	0	4	0	1	0	1	0	1	0	0	3	0	0	1	0	6	0	1	2	0	1	3	0	1	0	0	1	2	0	3	1	1	1	4	1	0	1	0	1	4	5	0	2	1	0	0	0	0	0	1	1	2	0	1	115	2	0	2	0	0	0	0	4	0	2	0	1	0	0	0	0	1	0	13	0	0	1	16	3	5	0	0	0	4	0	4	0	0	2	1	2	1	3	8	8	0	0	3	0	3	12	0	0	0	15	2	0
p__Actinobacteria g__Dietzia s__timorensis	1	1	8	3	0	5	4	27	12	6	15	1	7	5	0	22	4	1	9	2	0	2	11	2	13	2	19	11	16	0	23	0	1	8	7	10	1	0	1	0	8	1	0	2	5	0	1	0	8	0	0	38	9	11	2	1	0	13	1	1	6	3	12	3	1	7	4	1	24	12	0	2	8	9	2	8	8	1	0	17	2	43	0	3	6	0	3	77	4	0	0	0	15	2	3	7	7	6	7	1	4	2	0	1	2	2	31	17	1	18	9	8	3	0	4	6	10	0	2	2	42	6	0	14	1	8	0	5	0	4	1	8	13	23	6	0	0	13	17	1
p__Actinobacteria g__Eggerthella	0	1	2	7	0	7	6	19	5	0	113	0	40	17	0	14	30	0	10	13	1	56	24	7	5	1	16	51	6	0	14	0	26	46	12	24	3	2	0	0	2	20	0	1	2	0	0	0	56	0	0	266	4	25	11	4	4	4	3	1	3	9	16	7	2	9	29	0	3	0	0	3	3	11	7	63	3	44	0	4	115	0	0	9	12	7	5	1	5	0	0	0	4	5	3	6	0	0	8	4	2	8	5	2	10	1	22	68	0	1	251	14	4	11	2	14	23	0	10	1	2	6	1	12	2	2	1858	0	0	52	6	3	44	10	12	16	0	0	5	1
p__Actinobacteria g__Eggerthella s__lenta	226	460	479	4557	58	23553	782	4269	664	3756	82687	2234	710	652	202	4575	3803	69	7307	13663	14	38983	812	9033	16877	198	3882	598	6355	578	13266	320	60129	18118	435	17105	1343	679	18	1	4356	6746	10	1818	6512	147	9	8	17229	657	2722	12462	899	4162	1266	6061	678	800	7044	6551	382	5014	357	458	33345	1187	12878	29	2761	1057	2004	1014	902	787	205	35721	230	10191	108	1107	637	441	7212	33334	594	4235	1651	4649	393	469	15	23	16039	34131	1262	301	6968	49	27217	27107	487	243	3467	1717	3476	5622	968	51724	2138	2159	1266	6996	209	3206	108	2443	7015	2	3914	2105	618	294	31	17518	12616	2693	609537	18	9	208	24071	491	67118	320	23643	5493	11	33	250	1311
p__Actinobacteria g__Eggerthella s__sp. YY7918	6	26	225	49	1	337	31	899	176	24	754	208	71	2008	1214	592	317	0	437	182	0	297	179	179	189	40	153	1167	102	4	180	4	124	558	146	167	187	70	10	1	16	33	11	14	139	2	4	98	771	13	30	587	76	169	101	27	65	46	126	37	46	45	1147	230	620	82	32	0	220	39	13	51	74	300	452	425	32	146	2	54	156	352	293	1665	161	41	158	33	340	84	7	0	40	61	338	671	40	1017	80	82	895	69	16	62	105	21	263	549	1	134	843	189	225	2172	37	64	566	0	19	23	31	212	27	88	272	149	3199	0	9	118	76	263	491	379	34	3	0	1	215	12
p__Actinobacteria g__Euzebya s__sp. DY32-46	5	1	32	8	0	4	1	42	39	3	9	0	48	24	0	26	24	0	12	26	0	15	37	14	103	8	47	39	9	0	28	0	26	74	57	7	3	20	0	15	12	0	0	1	9	0	0	0	94	7	0	36	21	20	23	1	12	8	13	0	11	3	29	81	0	16	13	0	0	0	0	49	22	22	12	9	16	0	0	2	9	17	2	1	31	6	36	14	98	0	4	0	2	5	3	42	4	2	2	6	12	6	6	11	15	5	87	0	0	25	36	17	28	44	3	23	15	0	2	12	1	44	1	5	11	19	0	0	0	0	0	27	14	106	3	0	0	9	124	1
p__Actinobacteria g__Frankia	0	0	18	1	0	1	1	16	6	0	14	0	3	9	0	8	14	0	4	10	0	17	1	9	1	2	5	2	9	0	1	0	2	16	4	3	3	1	0	0	1	0	5	1	6	0	0	0	4	0	1	13	8	20	7	0	5	2	2	0	4	0	15	3	1	3	0	3	0	2	1	3	19	3	10	1	2	1	1	6	4	19	1	7	15	15	11	5	4	0	0	0	1	8	0	0	0	1	9	2	4	0	2	1	3	2	31	35	0	2	14	11	5	3	4	8	3	0	0	3	2	6	0	1	0	11	0	0	0	0	0	11	8	19	2	0	0	4	11	1
p__Actinobacteria g__Frankia s__alni	3	6	9	3	0	15	9	9	9	2	17	0	6	4	0	16	16	1	10	3	0	15	11	5	11	4	19	5	5	0	8	0	3	6	3	11	4	2	1	1	0	0	0	0	5	0	0	0	6	0	0	7	1	4	3	0	1	7	5	0	2	0	8	4	0	13	4	0	2	35	0	4	12	23	3	3	1	0	0	1	2	9	1	3	9	0	6	18	9	0	3	0	0	2	0	1	0	4	0	1	0	4	0	3	1	1	36	36	0	3	9	7	0	4	0	7	8	0	1	1	1	4	0	0	1	4	0	0	0	0	0	7	5	28	2	0	0	5	2	1
p__Actinobacteria g__Frankia s__casuarinae	0	1	15	0	8	0	0	40	14	1	17	0	13	16	89	3	10	0	7	5	0	2	5	6	68	1	26	5	4	0	26	0	10	61	26	3	3	1	1	1	0	1	0	0	1	0	0	0	33	7	0	9	10	2	1	10	0	2	2	0	12	0	11	24	2	0	0	2	0	2	0	7	8	13	28	5	5	1	0	0	1	2	3	3	20	1	0	28	18	0	1	3	4	4	2	7	4	1	9	8	0	5	2	3	6	3	39	3	162	4	6	6	11	0	0	1	4	0	5	2	2	34	0	2	1	3	0	0	0	2	0	11	5	40	2	0	0	5	47	1
p__Actinobacteria g__Frankia s__inefficax	1	1	16	7	0	1	1	24	23	21	20	0	3	32	0	34	28	0	12	3	0	33	14	9	13	6	34	14	3	2	10	0	3	12	21	15	6	5	1	0	2	0	0	1	6	0	1	0	12	1	9	11	12	14	18	0	7	4	3	5	2	1	22	10	1	14	51	3	101	3	0	10	14	29	8	1	7	0	0	27	0	9	0	1	18	7	13	72	18	0	4	0	41	5	3	21	9	3	3	2	6	4	3	6	14	9	30	7	0	3	17	15	7	36	0	5	11	0	4	1	9	6	0	4	41	20	5	0	0	2	5	27	29	27	4	0	0	28	4	0
